0	1
25000	1.0
knew	16.0
energy	2.0
care	82.0
creature	1.0
checkedyo	1.0
irrelevant	4.0
shd	1.0
handle	8.0
repeats	1.0
becaz	1.0
yuck	3.0
pussies	1.0
god	8.0
intimidated	1.0
thinks	4.0
dances	1.0
textbook	2.0
reaally	1.0
media	2.0
call	65.0
illustrator	1.0
humans	9.0
pcs	1.0
smell	10.0
typically	3.0
excluding	1.0
allahabad	1.0
surprised	4.0
steal	2.0
awsome	1.0
chat	69.0
%&	1.0
receive	2.0
hehe	11.0
massage	2.0
hates	9.0
necessary	1.0
overtly	1.0
irrfan	1.0
say	205.0
ermmmmm	1.0
person	66.0
huhhhh	2.0
dumped	2.0
assh	1.0
warned	1.0
nobody	6.0
relation	1.0
fu	2.0
smwt	1.0
worked	3.0
everytime	5.0
inbox	1.0
fyn	3.0
high	6.0
photo	14.0
welcomed	1.0
gotham	1.0
suicidal	1.0
yrss	1.0
p	3.0
scenes	1.0
kiss	34.0
raining	2.0
doesnot	1.0
dhak	2.0
images	1.0
emotionless	1.0
massaging	1.0
fak	1.0
mall	1.0
southern	1.0
miles	1.0
talkative	1.0
sentences	1.0
cum	1.0
recognize	1.0
witty	1.0
suppose	3.0
cracking	4.0
relieved	7.0
pack	1.0
ceo	1.0
failed	4.0
monuments	1.0
homes	1.0
betrayed	2.0
burst	1.0
zayn	2.0
bout	4.0
unattractive	1.0
harsh	5.0
names	5.0
badly	9.0
seriously	22.0
as	107.0
goes	3.0
started	28.0
hiring	1.0
careful	1.0
mxm	1.0
nikhil	1.0
ure	2.0
gifts	2.0
agien	1.0
ty	1.0
wo	1.0
judgmental	1.0
performing	2.0
yesterday	6.0
wars	5.0
alsatian	1.0
englidh	1.0
continue	5.0
hectic	1.0
hehehe	2.0
personally	3.0
address	3.0
bay	11.0
wl	1.0
desk	1.0
yaa	5.0
aware	6.0
fictional	1.0
errr	1.0
disaster	1.0
smiling	85.0
html	1.0
🌟	1.0
calm	3.0
eee	1.0
sending	22.0
bluffing	2.0
esports	1.0
tall	3.0
whole	15.0
gutter	1.0
youknow	1.0
so	910.0
oops	4.0
sensuous	1.0
rahul	3.0
gud	3.0
reigns	1.0
magi	1.0
inhuman	1.0
inconsiderate	1.0
na	23.0
relax	3.0
baba	1.0
\	17.0
frod	1.0
clever	4.0
89	2.0
|	5.0
ever	87.0
evn	1.0
minute	7.0
needed	5.0
stalking	1.0
speaking	16.0
rndi	1.0
(^o^)	1.0
lots	3.0
☺️	6.0
distress	1.0
stabbing	1.0
toooo	1.0
fine	43.0
losing	1.0
whose	4.0
lifters	1.0
sow	1.0
previous	1.0
too	197.0
senseless	2.0
big	38.0
sucks	4.0
could	39.0
hating	5.0
meme	2.0
since	19.0
cupid	1.0
somethng	1.0
sweets	1.0
truly	3.0
devil	1.0
slippers	1.0
stoping	1.0
case	2.0
stuck	4.0
idgaf	1.0
ought	2.0
chandler	1.0
judge	11.0
young	3.0
wondering	2.0
repeater	1.0
social	6.0
hwll	1.0
raatko	1.0
ironic	1.0
airports	2.0
says	11.0
namr	1.0
rid	2.0
buffalo	6.0
marketing	1.0
prob	1.0
zaeden	1.0
satisfactory	1.0
